Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
FAIRCHEMOR.NS,Fairchem Organics Limited
FCL.NS,Fineotex Chemical Limited
FCONSUMER.NS,Future Consumer Limited
FCSSOFT.NS,FCS Software Solutions Limited
FDC.NS,FDC Limited
FEDERALBNK.NS,The Federal Bank Limited
FEL.NS,Future Enterprises Limited
FELDVR.NS,Future Enterprises Limited
FIEMIND.NS,Fiem Industries Limited
FILATEX.NS,Filatex India Limited
FINCABLES.NS,Finolex Cables Limited
FINEORG.NS,Fine Organic Industries Limited
FINPIPE.NS,Finolex Industries Limited
FLEXITUFF.NS,Flexituff Ventures International Limited
FLFL.NS,Future Lifestyle Fashions Limited
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited
FMNL.NS,Future Market Networks Limited
FORCEMOT.NS,Force Motors Limited
FORTIS.NS,Fortis Healthcare Limited
FOSECOIND.NS,Foseco India Limited
FRETAIL.NS,Future Retail Limited
FSC.NS,Future Supply Chain Solutions Limited
FSL.NS,Firstsource Solutions Limited
GABRIEL.NS,Gabriel India Limited
GAEL.NS,Gujarat Ambuja Exports Limited
GAIL.NS,GAIL (India) Limited
GAL.NS,Gyscoal Alloys Limited
GALAXYSURF.NS,Galaxy Surfactants Limited
GALLANTT.NS,Gallantt Metal Limited
GALLISPAT.NS,Gallantt Ispat Limited
GAMMNINFRA.NS,AJR Infra and Tolling Limited
GANDHITUBE.NS,Gandhi Special Tubes Limited
GANECOS.NS,Ganesha Ecosphere Limited
GANESHBE.NS,Ganesh Benzoplast Limited
GANESHHOUC.NS,Ganesh Housing Corporation Limited
GANGAFORGE.NS,Ganga Forging Limited
GANGESSECU.NS,Ganges Securities Limited
GANGOTRI.NS,Gangotri Textiles Limited
GARFIBRES.NS,Garware Technical Fibres Limited
GATI.NS,Gati Limited
GAYAHWS.NS,Gayatri Highways Limited
GAYAPROJ.NS,Gayatri Projects Limited
GBGLOBAL.NS,GB Global Limited
GDL.NS,Gateway Distriparks Limited
GEECEE.NS,GeeCee Ventures Limited
GEEKAYWIRE.NS,Geekay Wires Limited
GENCON.NS,Generic Engineering Construction and Projects Limited
GENESYS.NS,Genesys International Corporation Limited
GENUSPAPER.NS,Genus Paper & Boards Limited
GENUSPOWER.NS,Genus Power Infrastructures Limited
GEOJITFSL.NS,Geojit Financial Services Limited
GEPIL.NS,GE Power India Limited
GESHIP.NS,The Great Eastern Shipping Company Limited
GET&D.NS,GE T&D India Limited
GFLLIMITED.NS,GFL Limited
GFSTEELS.NS,Grand Foundry Limited
