,Symbol,Name
7665,EUROCERA.NS,Euro Ceramics Limited
7666,EUROMULTI.NS,Euro Multivision Limited
7667,EUROTEXIND.NS,Eurotex Industries and Exports Limited
7668,EVEREADY.NS,Eveready Industries India Limited
7669,EVERESTIND.NS,Everest Industries Limited
7670,EXCEL.NS,Excel Realty N Infra Limited
7671,EXCELINDUS.NS,Excel Industries Limited
7672,EXIDEIND.NS,Exide Industries Limited
7673,EXPLEOSOL.NS,Expleo Solutions Limited
7674,EXXARO.NS,Exxaro Tiles Limited
7675,FACT.NS,The Fertilisers And Chemicals Travancore Limited
7676,FAIRCHEMOR.NS,Fairchem Organics Limited
7677,FCL.NS,Fineotex Chemical Limited
7678,FCONSUMER.NS,Future Consumer Limited
7679,FCSSOFT.NS,FCS Software Solutions Limited
7680,FDC.NS,FDC Limited
7681,FEDERALBNK.NS,The Federal Bank Limited
7682,FEL.NS,Future Enterprises Limited
7683,FELDVR.NS,Future Enterprises Limited
7684,FIEMIND.NS,Fiem Industries Limited
7685,FILATEX.NS,Filatex India Limited
7686,FINCABLES.NS,Finolex Cables Limited
7687,FINEORG.NS,Fine Organic Industries Limited
7688,FINPIPE.NS,Finolex Industries Limited
7689,FLEXITUFF.NS,Flexituff Ventures International Limited
7690,FLFL.NS,Future Lifestyle Fashions Limited
7691,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
7692,FMGOETZE.NS,Federal-Mogul Goetze (India) Limited
7693,FMNL.NS,Future Market Networks Limited
7694,FORCEMOT.NS,Force Motors Limited
7695,FORTIS.NS,Fortis Healthcare Limited
7696,FOSECOIND.NS,Foseco India Limited
7697,FRETAIL.NS,Future Retail Limited
7698,FSC.NS,Future Supply Chain Solutions Limited
7699,FSL.NS,Firstsource Solutions Limited
7700,GABRIEL.NS,Gabriel India Limited
7701,GAEL.NS,Gujarat Ambuja Exports Limited
7702,GAIL.NS,GAIL (India) Limited
7703,GAL.NS,Gyscoal Alloys Limited
7704,GALAXYSURF.NS,Galaxy Surfactants Limited
7705,GALLANTT.NS,Gallantt Metal Limited
7706,GALLISPAT.NS,Gallantt Ispat Limited
7707,GAMMNINFRA.NS,AJR Infra and Tolling Limited
7708,GANDHITUBE.NS,Gandhi Special Tubes Limited
7709,GANECOS.NS,Ganesha Ecosphere Limited
7710,GANESHBE.NS,Ganesh Benzoplast Limited
7711,GANESHHOUC.NS,Ganesh Housing Corporation Limited
7712,GANGAFORGE.NS,Ganga Forging Limited
7713,GANGESSECU.NS,Ganges Securities Limited
